Fecha,Hora,Casa,Visitante
Feb Dom 9,18:30,Valencia Basket,Barça
Feb Sáb 1,18:00,Casademont Zgz,Valencia Basket
Feb Sáb 1,18:00,Leyma Coruña,Hiopos Lleida
Feb Sáb 1,20:45,Coviran Granada,UCAM Murcia
Feb Sáb 1,20:45,La Laguna TFE,Joventut
Feb Dom 2,12:30,Surne Bilbao,Bàsquet Girona
Mar Dom 2,12:30,Unicaja,BAXI Manresa
Mar Dom 2,17:00,Barça,Río Breogán
Mar Dom 2,17:00,MoraBanc And,Baskonia
Mar Dom 2,18:30,Dreamland GC,Real Madrid
Mar Sáb 8,18:00,Valencia Basket,Surne Bilbao
Abr Sáb 8,18:00,Unicaja,Coviran Granada
Abr Sáb 8,20:45,Río Breogán,MoraBanc And
Abr Sáb 8,20:45,Bàsquet Girona,Joventut
Abr Dom 9,12:30,Real Madrid,UCAM Murcia
May Dom 9,12:30,BAXI Manresa,Leyma Coruña
May Dom 9,17:00,Baskonia,Dreamland GC
May Dom 9,17:00,Hiopos Lleida,Casademont Zgz
May Dom 9,18:30,Barça,La Laguna TFE
May Sáb 15,18:00,UCAM Murcia,Bàsquet Girona
Jun Sáb 15,18:00,Joventut,Valencia Basket
Jun Sáb 15,20:45,Casademont Zgz,Unicaja
Jun Sáb 15,20:45,Dreamland GC,BAXI Manresa
Jun Dom 16,12:30,Coviran Granada,Hiopos Lleida
Ago Dom 16,12:30,Leyma Coruña,Río Breogán
Ago Dom 16,17:00,MoraBanc And,Barça
Ago Dom 16,17:00,Surne Bilbao,La Laguna TFE
Ago Dom 16,18:30,Real Madrid,Baskonia
Ago Sáb 22,18:00,Bàsquet Girona,Dreamland GC
Sep Sáb 22,18:00,Valencia Basket,Leyma Coruña
Sep Sáb 22,20:45,Baskonia,BAXI Manresa
Sep Sáb 22,20:45,Río Breogán,UCAM Murcia
Sep Dom 23,12:30,Hiopos Lleida,Joventut
Oct Dom 23,13:00,La Laguna TFE,MoraBanc And
Oct Dom 23,17:00,Barça,Casademont Zgz
Oct Dom 23,17:00,Surne Bilbao,Coviran Granada
Oct Dom 23,18:30,Unicaja,Real Madrid
Oct Sáb 29,18:00,UCAM Murcia,MoraBanc And
Nov Sáb 29,18:00,BAXI Manresa,Hiopos Lleida
Nov Sáb 29,20:45,Leyma Coruña,Bàsquet Girona
Nov Sáb 29,20:45,Casademont Zgz,La Laguna TFE
Nov Dom 30,12:30,Coviran Granada,Valencia Basket
Dic Dom 30,13:00,Dreamland GC,Unicaja
Dic Dom 30,17:00,Real Madrid,Surne Bilbao
Dic Dom 30,17:00,Río Breogán,Baskonia
Dic Dom 30,18:30,Joventut,Barça
Dic Sáb 5,18:00,MoraBanc And,Joventut
Dic Sáb 5,18:00,Hiopos Lleida,Río Breogán
Dic Sáb 5,20:45,Surne Bilbao,Dreamland GC
Dic Sáb 5,20:45,Valencia Basket,UCAM Murcia
Dic Dom 6,12:30,BAXI Manresa,Casademont Zgz
Ene Dom 6,13:00,La Laguna TFE,Coviran Granada
Ene Dom 6,17:00,Unicaja,Leyma Coruña
Ene Dom 6,17:00,Baskonia,Bàsquet Girona
Ene Dom 6,18:30,Barça,Real Madrid
Ene Sáb 12,18:00,Bàsquet Girona,Río Breogán
Feb Sáb 12,18:00,Casademont Zgz,Leyma Coruña
Feb Sáb 12,20:45,UCAM Murcia,Baskonia
Feb Sáb 12,20:45,Dreamland GC,Hiopos Lleida
Feb Dom 13,12:30,Joventut,BAXI Manresa
Mar Dom 13,13:00,La Laguna TFE,Real Madrid
Mar Dom 13,17:00,Coviran Granada,Barça
Mar Dom 13,17:00,MoraBanc And,Surne Bilbao
Mar Dom 13,18:30,Valencia Basket,Unicaja
Mar Sáb 19,18:00,BAXI Manresa,Bàsquet Girona
Abr Sáb 19,18:00,Unicaja,Surne Bilbao
Abr Sáb 19,20:45,Leyma Coruña,Coviran Granada
Abr Sáb 19,20:45,UCAM Murcia,Joventut
Abr Dom 20,12:30,Real Madrid,MoraBanc And
May Dom 20,12:30,Hiopos Lleida,Valencia Basket
May Dom 20,17:00,Baskonia,La Laguna TFE
May Dom 20,17:00,Río Breogán,Casademont Zgz
May Dom 20,18:30,Barça,Dreamland GC
May Sáb 26,17:00,Casademont Zgz,Dreamland GC
Jun Sáb 26,17:00,Coviran Granada,BAXI Manresa
Jun Sáb 26,19:30,Río Breogán,Joventut
Jun Sáb 26,19:30,La Laguna TFE,Leyma Coruña
Jun Dom 27,12:30,Bàsquet Girona,Real Madrid
Ago Dom 27,12:30,Valencia Basket,Baskonia
Ago Dom 27,17:00,MoraBanc And,Hiopos Lleida
Ago Dom 27,17:00,Surne Bilbao,UCAM Murcia
Ago Dom 27,18:30,Barça,Unicaja
Ago Sáb 3,18:00,Joventut,Surne Bilbao
Ago Sáb 3,18:00,Baskonia,Casademont Zgz
Ago Sáb 3,20:45,BAXI Manresa,Río Breogán
Ago Sáb 3,20:45,Dreamland GC,Coviran Granada
Ago Dom 4,12:30,Bàsquet Girona,La Laguna TFE
